Name,BIOS Serial Number,Region,Location,Device Type,OS Version & Architecture,Last Seen,Last IP Address,Last system boot duration Base Date,Last system boot duration
DESKTOP-MJVMEEM,CNU40495CF,,,,Microsoft Windows 10 Pro ( x64-based PC ) ,2022-08-26 14:18:49.157632,192.168.43.193,N/A,0
FIROJKHAN-PC,4CZ1191LZF,,,,Microsoft Windows 7 Ultimate  ( x64-based PC ) ,2022-08-29 18:16:30.819869,192.168.1.26,N/A,0
RENULAPTOP,R90Q8JBV,,,,Microsoft Windows 10 Pro ( x64-based PC ) ,2022-09-23 17:24:31.331301,192.168.1.3,N/A,0
DESKTOP-MTG2GVK,210J312,,,,Microsoft Windows 10 Pro ( x64-based PC ) ,2022-09-28 14:53:29.950195,192.168.1.3,N/A,0
DESKTOP-LUQO5MC,5CG5104DSK,,,,Microsoft Windows 10 Pro ( x64-based PC ) ,2022-10-08 13:29:31.428500,192.168.1.191,N/A,0
