Name,BIOS Serial Number,Region,Location,Device Type,OS Version & Architecture,Last Seen,Last IP Address,Last system boot duration Base Date,Last system boot duration
DESKTOP-MJVMEEM,CNU40495CF,,,,Microsoft Windows 10 Pro ( x64-based PC ) ,26/Aug/2022 12:00:00,192.168.43.193,N/A,0
FIROJKHAN-PC,4CZ1191LZF,,,,Microsoft Windows 7 Ultimate  ( x64-based PC ) ,29/Aug/2022 12:00:00,192.168.1.26,N/A,0
RENULAPTOP,R90Q8JBV,,,,Microsoft Windows 10 Pro ( x64-based PC ) ,23/Sep/2022 12:00:00,192.168.1.3,N/A,0
DESKTOP-MTG2GVK,210J312,,,,Microsoft Windows 10 Pro ( x64-based PC ) ,28/Sep/2022 12:00:00,192.168.1.3,N/A,0
DESKTOP-LUQO5MC,5CG5104DSK,,,,Microsoft Windows 10 Pro ( x64-based PC ) ,08/Oct/2022 12:00:00,192.168.1.191,N/A,0
